date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:25:29	730200/730200	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:25:25%20GMT	https://www.classcentral.com/subject/mathematical-logic	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/mathematical-logic.html	(from https://www.classcentral.com/)
03:25:30	412796/412796	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2023:04:52%20GMT	https://www.classcentral.com/report/free-certificates/	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/report/free-certificates/index.html	(from https://www.classcentral.com/)
03:25:35	649973/649973	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:25:31%20GMT	https://www.classcentral.com/subject/linear-programming	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/linear-programming.html	(from https://www.classcentral.com/)
03:25:40	796614/796614	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:25:36%20GMT	https://www.classcentral.com/subject/management-and-leadership	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/management-and-leadership.html	(from https://www.classcentral.com/)
03:25:45	806326/806326	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:25:41%20GMT	https://www.classcentral.com/subject/finance	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/finance.html	(from https://www.classcentral.com/)
03:25:50	788100/788100	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:25:46%20GMT	https://www.classcentral.com/subject/entrepreneurship	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/entrepreneurship.html	(from https://www.classcentral.com/)
03:25:55	811187/811187	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:25:51%20GMT	https://www.classcentral.com/subject/marketing	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/marketing.html	(from https://www.classcentral.com/)
03:26:01	805898/805898	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:25:56%20GMT	https://www.classcentral.com/subject/strategic-management	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/strategic-management.html	(from https://www.classcentral.com/)
03:26:06	767139/767139	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:26:02%20GMT	https://www.classcentral.com/subject/industry-specific	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/industry-specific.html	(from https://www.classcentral.com/)
03:26:11	774861/774861	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:26:07%20GMT	https://www.classcentral.com/subject/business-intelligence	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/business-intelligence.html	(from https://www.classcentral.com/)
03:26:16	781263/781263	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:26:12%20GMT	https://www.classcentral.com/subject/accounting	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/accounting.html	(from https://www.classcentral.com/)
03:26:20	762374/762374	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:26:17%20GMT	https://www.classcentral.com/subject/human-resources	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/human-resources.html	(from https://www.classcentral.com/)
03:26:21	187935/187935	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2023:04:40%20GMT	https://www.classcentral.com/report/free-google-certifications/	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/report/free-google-certifications/index.html	(from https://www.classcentral.com/)
03:26:27	782577/782577	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:26:22%20GMT	https://www.classcentral.com/subject/project-management	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/project-management.html	(from https://www.classcentral.com/)
03:26:32	761437/761437	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:26:28%20GMT	https://www.classcentral.com/subject/sales	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/sales.html	(from https://www.classcentral.com/)
03:26:37	766310/766310	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:26:33%20GMT	https://www.classcentral.com/subject/design-thinking	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/design-thinking.html	(from https://www.classcentral.com/)
03:26:42	779871/779871	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:26:38%20GMT	https://www.classcentral.com/subject/business-software	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/business-software.html	(from https://www.classcentral.com/)
03:26:47	760883/760883	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:26:43%20GMT	https://www.classcentral.com/subject/risk-management	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/risk-management.html	(from https://www.classcentral.com/)
03:26:52	744745/744745	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:26:48%20GMT	https://www.classcentral.com/subject/csr	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/csr.html	(from https://www.classcentral.com/)
03:26:57	737833/737833	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:26:53%20GMT	https://www.classcentral.com/subject/customer-service	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/customer-service.html	(from https://www.classcentral.com/)
03:27:02	751370/751370	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:26:58%20GMT	https://www.classcentral.com/subject/nonprofit	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/nonprofit.html	(from https://www.classcentral.com/)
03:27:03	140663/140663	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2007:40:43%20GMT	https://www.classcentral.com/report/most-popular-march-2023/	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/report/most-popular-march-2023/index.html	(from https://www.classcentral.com/)
03:27:08	757021/757021	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:27:04%20GMT	https://www.classcentral.com/subject/innovation	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/innovation.html	(from https://www.classcentral.com/)
03:27:13	749645/749645	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:27:09%20GMT	https://www.classcentral.com/subject/operations-management	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/operations-management.html	(from https://www.classcentral.com/)
03:27:18	790909/790909	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:27:14%20GMT	https://www.classcentral.com/subject/history	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/history.html	(from https://www.classcentral.com/)
03:27:23	784598/784598	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:27:19%20GMT	https://www.classcentral.com/subject/literature	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/literature.html	(from https://www.classcentral.com/)
03:27:28	817145/817145	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:27:24%20GMT	https://www.classcentral.com/subject/language-learning	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/language-learning.html	(from https://www.classcentral.com/)
03:27:33	827844/827844	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:27:29%20GMT	https://www.classcentral.com/subject/grammar-writing	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/grammar-writing.html	(from https://www.classcentral.com/)
03:27:39	797355/797355	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:27:34%20GMT	https://www.classcentral.com/subject/philosophy	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/philosophy.html	(from https://www.classcentral.com/)
03:27:44	761910/761910	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:27:39%20GMT	https://www.classcentral.com/subject/religion	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/religion.html	(from https://www.classcentral.com/)
03:27:49	790659/790659	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:27:45%20GMT	https://www.classcentral.com/subject/esl	/home/anaeru/repositories/personal/scrapper-translate-classcenter/httrack-output/www.classcentral.com/subject/esl.html	(from https://www.classcentral.com/)
